level,mean,median,mode,min,max,mode per,min per,max per
1,0.5011,1,1,0,1,0.5011,0.4989,0.5011
2,1.006,1,1,0,2,0.5036,0.2452,0.2512
3,1.4972,1,1,0,3,0.3786,0.1237,0.1232
4,1.9996,2,2,0,4,0.3706,0.0643,0.0629
5,2.509,2,2,0,5,0.3157,0.0279,0.0344
6,2.9942,3,3,0,6,0.311,0.0177,0.0157
7,3.516,4,4,0,7,0.2703,0.0065,0.0071
8,3.9991,4,4,0,8,0.2731,0.0039,0.0036
9,4.5016,5,5,0,9,0.2513,0.0016,0.0025
10,4.9878,5,5,0,10,0.2449,0.0008,0.0008
