level,mean,median,mode,min,max,mode per,min per,max per
1,0.0,0,0,0,0,1.0,1.0,1.0
2,0.0,0,0,0,0,1.0,1.0,1.0
3,0.6295,0,0,0,5,0.8741,0.8741,0.1259
4,1.6463,0,0,0,6,0.6829,0.6829,0.0608
5,2.741,5,0,0,7,0.4965,0.4965,0.0323
6,3.78,5,0,0,8,0.3394,0.3394,0.0153
7,4.6744,6,6,0,9,0.2732,0.2257,0.0072
8,5.4841,6,6,0,10,0.2775,0.142,0.0037
9,6.107,6,6,0,11,0.2482,0.0945,0.0028
10,6.7893,7,7,0,12,0.2485,0.0533,0.001
